player1_rank,player1_rank_imputed,player1_ht,player1_age,player2_rank,player2_rank_imputed,player2_ht,player2_age,player1_won,draw_size,tourney_date,best_of,Qualifying_match,player1_hand_L,player1_hand_R,player1_hand_U,player2_hand_L,player2_hand_R,player2_hand_U,player1_entry_2) A,player1_entry_3),player1_entry_5) A,player1_entry_6),player1_entry_6) A,player1_entry_8),player1_entry_A,player1_entry_AL,player1_entry_ALT,player1_entry_Alt,player1_entry_Direct,player1_entry_I,player1_entry_ITF,player1_entry_J,player1_entry_LL,player1_entry_P,player1_entry_PR,player1_entry_Q,player1_entry_S,player1_entry_SE,player1_entry_UP,player1_entry_W,player1_entry_WC,player2_entry_2) A,player2_entry_3),player2_entry_6),player2_entry_6) A,player2_entry_A,player2_entry_AL,player2_entry_ALT,player2_entry_Alt,player2_entry_Direct,player2_entry_I,player2_entry_ITF,player2_entry_LL,player2_entry_P,player2_entry_PR,player2_entry_Q,player2_entry_S,player2_entry_SE,player2_entry_UP,player2_entry_W,player2_entry_WC,tourney_level_C,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,tourney_level_O,round_F,round_Q1,round_Q2,round_Q3,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,rank_difference,age_difference,height_difference,player1_career_matches,player1_career_wins,player1_career_win_rate,player2_career_matches,player2_career_wins,player2_career_win_rate,career_win_rate_diff,player1_clay_matches,player1_clay_wins,player1_clay_win_rate,player1_grass_matches,player1_grass_wins,player1_grass_win_rate,player1_hard_matches,player1_hard_wins,player1_hard_win_rate,player1_carpet_matches,player1_carpet_wins,player1_carpet_win_rate,player2_clay_matches,player2_clay_wins,player2_clay_win_rate,player2_grass_matches,player2_grass_wins,player2_grass_win_rate,player2_hard_matches,player2_hard_wins,player2_hard_win_rate,player2_carpet_matches,player2_carpet_wins,player2_carpet_win_rate,clay_win_rate_diff,grass_win_rate_diff,hard_win_rate_diff,carpet_win_rate_diff,h2h_matches,player1_h2h_wins,player1_h2h_win_rate,player2_h2h_wins,player2_h2h_win_rate,h2h_win_rate_diff,player1_recent_form,player1_recent_matches,player2_recent_form,player2_recent_matches,recent_form_diff
2258.0,1,185.0,24.8,777.0,0,188.0,20.0,0,32,20241125,3,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1481.0,4.800000000000001,-3.0,6,0,0.0,32,16,0.5,-0.5,0,0,0.5,0,0,0.5,5,0,0.0,0,0,0.5,0,0,0.5,0,0,0.5,31,16,0.5161290322580645,0,0,0.5,0.0,0.0,-0.5161290322580645,0.0,1,0,0.0,1,1.0,-1.0,0.0,6,0.45,20,-0.45
1514.0,0,175.0,25.2,2258.0,1,183.0,25.4,1,32,20241125,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,-744.0,-0.1999999999999993,-8.0,5,0,0.0,1,0,0.0,0.0,0,0,0.5,0,0,0.5,4,0,0.0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0.0,0.0,-0.5,0.0,0,0,0.5,0,0.5,0.0,0.0,5,0.0,1,0.0
320.0,0,188.0,26.2,105.0,0,185.0,25.4,1,32,20241125,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,215.0,0.8000000000000007,3.0,106,52,0.490566037735849,325,196,0.6030769230769231,-0.112510885341074,0,0,0.5,0,0,0.5,46,22,0.4782608695652174,0,0,0.5,0,0,0.5,0,0,0.5,24,9,0.375,0,0,0.5,0.0,0.0,0.1032608695652174,0.0,0,0,0.5,0,0.5,0.0,0.45,20,0.8,20,-0.35
376.0,0,178.0,32.6,105.0,0,185.0,25.4,0,32,20241125,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,271.0,7.200000000000003,-7.0,678,322,0.4749262536873156,326,196,0.6012269938650306,-0.126300740177715,0,0,0.5,0,0,0.5,100,38,0.38,0,0,0.5,0,0,0.5,0,0,0.5,25,9,0.36,0,0,0.5,0.0,0.0,0.02,0.0,4,2,0.5,2,0.5,0.0,0.4,20,0.75,20,-0.35
435.0,0,178.0,24.6,320.0,0,188.0,26.2,0,32,20241125,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,115.0,-1.599999999999998,-10.0,142,65,0.4577464788732394,107,53,0.4953271028037383,-0.0375806239304988,0,0,0.5,0,0,0.5,17,5,0.2941176470588235,0,0,0.5,0,0,0.5,0,0,0.5,47,23,0.4893617021276595,0,0,0.5,0.0,0.0,-0.195244055068836,0.0,0,0,0.5,0,0.5,0.0,0.5,20,0.5,20,0.0
376.0,0,178.0,32.6,287.0,0,185.0,19.7,1,32,20241125,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,89.0,12.900000000000002,-7.0,679,322,0.4742268041237113,57,32,0.5614035087719298,-0.0871767046482184,0,0,0.5,0,0,0.5,101,38,0.3762376237623762,0,0,0.5,0,0,0.5,0,0,0.5,2,1,0.5,0,0,0.5,0.0,0.0,-0.1237623762376237,0.0,1,0,0.0,1,1.0,-1.0,0.4,20,0.6,20,-0.1999999999999999
105.0,0,185.0,25.4,148.0,0,191.0,26.9,1,32,20241125,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,-43.0,-1.5,-6.0,327,197,0.6024464831804281,390,224,0.5743589743589743,0.0280875088214538,0,0,0.5,0,0,0.5,26,10,0.3846153846153846,0,0,0.5,0,0,0.5,0,0,0.5,76,38,0.5,0,0,0.5,0.0,0.0,-0.1153846153846153,0.0,4,2,0.5,2,0.5,0.0,0.8,20,0.65,20,0.15
320.0,0,188.0,26.2,323.0,0,173.0,36.3,1,32,20241125,3,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,-3.0,-10.099999999999998,15.0,108,54,0.5,226,94,0.415929203539823,0.084070796460177,0,0,0.5,0,0,0.5,48,24,0.5,0,0,0.5,0,0,0.5,0,0,0.5,25,8,0.32,0,0,0.5,0.0,0.0,0.18,0.0,0,0,0.5,0,0.5,0.0,0.5,20,0.4,20,0.0999999999999999
435.0,0,178.0,24.6,913.0,0,188.0,28.9,1,32,20241125,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,-478.0,-4.299999999999997,-10.0,143,65,0.4545454545454545,76,30,0.3947368421052631,0.0598086124401913,0,0,0.5,0,0,0.5,18,5,0.2777777777777778,0,0,0.5,0,0,0.5,0,0,0.5,10,3,0.3,0,0,0.5,0.0,0.0,-0.0222222222222222,0.0,0,0,0.5,0,0.5,0.0,0.5,20,0.25,20,0.25
97.0,0,183.0,26.2,287.0,0,185.0,19.7,0,32,20241125,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-190.0,6.5,-2.0,257,135,0.5252918287937743,58,32,0.5517241379310345,-0.0264323091372601,0,0,0.5,0,0,0.5,216,122,0.5648148148148148,0,0,0.5,0,0,0.5,0,0,0.5,3,1,0.3333333333333333,0,0,0.5,0.0,0.0,0.2314814814814814,0.0,0,0,0.5,0,0.5,0.0,0.45,20,0.6,20,-0.1499999999999999
